run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	bam_ftp
ERR598970	SAMEA2620786	ERX556096	PRJEB1787	408172	marine metagenome	APY_AAAIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598970/ERR598970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598970/ERR598970_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598970/APY_AAAIOSF_1_1_63A2BAAXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598970/APY_AAAIOSF_1_2_63A2BAAXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598970	TARA_B100000401	
ERR598975	SAMEA2619907	ERX555956	PRJEB1787	408172	marine metagenome	APY_ABNIOSF_r2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598975/ERR598975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598975/ERR598975_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598975/APY_ABNIOSF_4_1_D072HACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598975/APY_ABNIOSF_4_2_D072HACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598975	TARA_B100000029	
ERR598979	SAMEA2620855	ERX555970	PRJEB1787	408172	marine metagenome	APY_AADIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598979/ERR598979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598979/ERR598979_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598979/APY_AADIOSF_6_1_D0745ACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598979/APY_AADIOSF_6_2_D0745ACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598979	TARA_B000000437	
ERR598981	SAMEA2622149	ERX555977	PRJEB1787	408172	marine metagenome	APY_ADBIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598981/ERR598981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598981/ERR598981_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598981/APY_ADBIOSF_4_1_D074KACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598981/APY_ADBIOSF_4_2_D074KACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598981	TARA_B100000959	
ERR598989	SAMEA2623275	ERX556031	PRJEB1787	408172	marine metagenome	APY_AFQIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598989/ERR598989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598989/ERR598989_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598989/APY_AFQIOSF_4_1_C197GACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598989/APY_AFQIOSF_4_2_C197GACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598989	TARA_B100001287	
ERR598990	SAMEA2620890	ERX556072	PRJEB1787	408172	marine metagenome	APY_AAEIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598990/ERR598990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598990/ERR598990_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598990/APY_AAEIOSF_2_1_C177WACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598990/APY_AAEIOSF_2_2_C177WACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598990	TARA_B000000441	
ERR598991	SAMEA2619879	ERX555978	PRJEB1787	408172	marine metagenome	APY_ABMIOSF_r2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598991/ERR598991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598991/ERR598991_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598991/APY_ABMIOSF_4_1_D1E00ACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598991/APY_ABMIOSF_4_2_D1E00ACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598991	TARA_B100000003	
ERR598996	SAMEA2623826	ERX555927	PRJEB1787	408172	marine metagenome	APY_AGNIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598996/ERR598996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598996/ERR598996_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598996/APY_AGNIOSF_6_1_C18DBACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598996/APY_AGNIOSF_6_2_C18DBACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598996	TARA_B100001778	
ERR598997	SAMEA2622316	ERX556086	PRJEB1787	408172	marine metagenome	APY_ADFIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598997/ERR598997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598997/ERR598997_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598997/APY_ADFIOSF_2_1_D074KACXX.IND8_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598997/APY_ADFIOSF_2_2_D074KACXX.IND8_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598997	TARA_B100000925	
ERR598999	SAMEA2622673	ERX556047	PRJEB1787	408172	marine metagenome	APY_AEEIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598999/ERR598999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598999/ERR598999_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598999/APY_AEEIOSF_5_1_D17A8ACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598999/APY_AEEIOSF_5_2_D17A8ACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598999	TARA_B100000678	
ERR599004	SAMEA2623390	ERX556099	PRJEB1787	408172	marine metagenome	APY_AEPIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599004/ERR599004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599004/ERR599004_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599004/APY_AEPIOSF_1_1_D17A8ACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599004/APY_AEPIOSF_1_2_D17A8ACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599004	TARA_B100002003	
ERR599006	SAMEA2621254	ERX556088	PRJEB1787	408172	marine metagenome	APY_AATIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599006/ERR599006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599006/ERR599006_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599006/APY_AATIOSF_1_1_D1BP5ACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599006/APY_AATIOSF_1_2_D1BP5ACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599006	TARA_B100000524	
ERR599007	SAMEA2622219	ERX556005	PRJEB1787	408172	marine metagenome	APY_ADDIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599007/ERR599007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599007/ERR599007_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599007/APY_ADDIOSF_3_1_C179JACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599007/APY_ADDIOSF_3_2_C179JACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599007	TARA_B100000902	
ERR599008	SAMEA2621551	ERX556139	PRJEB1787	408172	marine metagenome	APY_ACRIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599008/ERR599008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599008/ERR599008_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599008/APY_ACRIOSF_2_1_D1E00ACXX.IND10_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599008/APY_ACRIOSF_2_2_D1E00ACXX.IND10_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599008	TARA_B100000809	
ERR599010	SAMEA2621198	ERX555995	PRJEB1787	408172	marine metagenome	APY_AAQIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599010/ERR599010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599010/ERR599010_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599010/APY_AAQIOSF_6_1_D0745ACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599010/APY_AAQIOSF_6_2_D0745ACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599010	TARA_B100000513	
ERR599015	SAMEA2623314	ERX555937	PRJEB1787	408172	marine metagenome	APY_AEMIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599015/ERR599015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599015/ERR599015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599015/APY_AEMIOSF_1_1_D17A8ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599015/APY_AEMIOSF_1_2_D17A8ACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599015	TARA_B100001971	
ERR599020	SAMEA2622429	ERX556008	PRJEB1787	408172	marine metagenome	APY_ADRIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599020/ERR599020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599020/ERR599020_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599020/APY_ADRIOSF_4_1_D1BKNACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599020/APY_ADRIOSF_4_2_D1BKNACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599020	TARA_B100001079	
ERR599024	SAMEA2622074	ERX555926	PRJEB1787	408172	marine metagenome	APY_AFFIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599024/ERR599024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599024/ERR599024_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599024/APY_AFFIOSF_3_1_C11W9ACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599024/APY_AFFIOSF_3_2_C11W9ACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599024	TARA_B100000886	
ERR599029	SAMEA2623446	ERX556062	PRJEB1787	408172	marine metagenome	APY_AFVIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599029/ERR599029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599029/ERR599029_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599029/APY_AFVIOSF_1_1_C1CL0ACXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599029/APY_AFVIOSF_1_2_C1CL0ACXX.IND9_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599029	TARA_B100001939	
ERR599033	SAMEA2622673	ERX555936	PRJEB1787	408172	marine metagenome	APY_AEEIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599033/ERR599033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599033/ERR599033_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599033/APY_AEEIOSF_6_1_D17A8ACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599033/APY_AEEIOSF_6_2_D17A8ACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599033	TARA_B100000678	
ERR599034	SAMEA2620882	ERX555972	PRJEB1787	408172	marine metagenome	APY_AAFIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599034/ERR599034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599034/ERR599034_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599034/APY_AAFIOSF_7_1_D0745ACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599034/APY_AAFIOSF_7_2_D0745ACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599034	TARA_B000000460	
ERR599036	SAMEA2622759	ERX556117	PRJEB1787	408172	marine metagenome	APY_AEHIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599036/ERR599036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599036/ERR599036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599036/APY_AEHIOSF_6_1_D17A8ACXX.IND8_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599036/APY_AEHIOSF_6_2_D17A8ACXX.IND8_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599036	TARA_B100000674	
ERR599038	SAMEA2622901	ERX555990	PRJEB1787	408172	marine metagenome	APY_AFGIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599038/ERR599038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599038/ERR599038_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599038/APY_AFGIOSF_4_1_C11W9ACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599038/APY_AFGIOSF_4_2_C11W9ACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599038	TARA_B100000609	
ERR599043	SAMEA2619766	ERX555952	PRJEB1787	408172	marine metagenome	APY_ABFIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599043/ERR599043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599043/ERR599043_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599043/APY_ABFIOSF_6_1_C120YACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599043/APY_ABFIOSF_6_2_C120YACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599043	TARA_E500000178	
ERR599044	SAMEA2621092	ERX556016	PRJEB1787	408172	marine metagenome	APY_AAPIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599044/ERR599044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR599/ERR599044/ERR599044_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599044/APY_AAPIOSF_2_1_C120RACXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR599/ERR599044/APY_AAPIOSF_2_2_C120RACXX.IND9_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR599/ERR599044	TARA_B100000446	
